score	tokens	count	sequence
14.735422909016199	6	52	['check', '->', 'all_attrs_nr', ';', 'i', '++']
14.735422909016199	6	52	['->', 'all_attrs_nr', ';', 'i', '++', ')']
14.735422909016199	6	52	['all_attrs_nr', ';', 'i', '++', ')', '{']
13.659074168507123	5	59	[';', 'i', '++', ')', '{']
13.484260550507958	5	56	['for', '(', 'i', '=', '0']
13.484260550507958	5	56	['(', 'i', '=', '0', ';']
13.484260550507958	5	56	['i', '=', '0', ';', 'i']
13.42390154548286	5	55	['=', '0', ';', 'i', '<']
13.236011134763597	5	52	['0', ';', 'i', '<', 'check']
13.236011134763597	5	52	[';', 'i', '<', 'check', '->']
13.236011134763597	5	52	['i', '<', 'check', '->', 'all_attrs_nr']
13.236011134763597	5	52	['<', 'check', '->', 'all_attrs_nr', ';']
13.236011134763597	5	52	['check', '->', 'all_attrs_nr', ';', 'i']
13.236011134763597	5	52	['->', 'all_attrs_nr', ';', 'i', '++']
13.236011134763597	5	52	['all_attrs_nr', ';', 'i', '++', ')']
11.813781191217037	4	60	['for', '(', 'i', '=']
11.813781191217037	4	60	[';', 'i', '++', ')']
11.765286098723683	4	59	['i', '++', ')', '{']
11.614709844115207	4	56	['(', 'i', '=', '0']
11.614709844115207	4	56	['i', '=', '0', ';']
11.614709844115207	4	56	['=', '0', ';', 'i']
11.56271942704932	4	55	['<', 'check', '->', 'all_attrs_nr']
11.56271942704932	4	55	['0', ';', 'i', '<']
11.400879436282183	4	52	[';', 'i', '<', 'check']
11.400879436282183	4	52	['i', '<', 'check', '->']
11.400879436282183	4	52	['check', '->', 'all_attrs_nr', ';']
11.400879436282183	4	52	['->', 'all_attrs_nr', ';', 'i']
11.400879436282183	4	52	['all_attrs_nr', ';', 'i', '++']
10.5530155220326	3	101	['check', '->', 'all_attrs']
9.99125609862866	3	79	['=', '0', ';']
9.399996281664004	3	61	['check', '->', 'all_attrs_nr']
9.362200089901958	3	60	['for', '(', 'i']
9.362200089901958	3	60	['(', 'i', '=']
9.362200089901958	3	60	[';', 'i', '++']
9.362200089901958	3	60	['i', '++', ')']
9.323768638366472	3	59	['++', ')', '{']
9.204439779839735	3	56	['i', '=', '0']
9.204439779839735	3	56	['0', ';', 'i']
9.204439779839735	3	56	[';', 'i', '<']
9.163238349116591	3	55	['<', 'check', '->']
9.034983190875106	3	52	['i', '<', 'check']
9.034983190875106	3	52	['->', 'all_attrs_nr', ';']
9.034983190875106	3	52	['all_attrs_nr', ';', 'i']
7.882643049361842	2	236	[')', '{']
7.357552004618084	2	164	['check', '->']
6.906890595608519	2	120	[';', 'i']
6.727920454563199	2	106	['0', ';']
6.658211482751795	2	101	['->', 'all_attrs']
6.303780748177103	2	79	['=', '0']
6.044394119358453	2	66	['for', '(']
6.0	2	64	['(', 'i']
6.0	2	64	['i', '=']
5.954196310386875	2	62	['++', ')']
5.930737337562887	2	61	['->', 'all_attrs_nr']
5.906890595608519	2	60	['i', '++']
5.807354922057604	2	56	['i', '<']
5.78135971352466	2	55	['<', 'check']
5.700439718141092	2	52	['all_attrs_nr', ';']
